Timestamp,RodPump.FluidLoad,RodPump.PumpFillage,RodPump.PumpingSpeed,RodPump.RodLoading
'02/01/2023 20:50:58,9116.4138671875,21.573099621540575,7.546801025061896,38.97254136407005
'02/01/2023 20:51:05,10469.049218750002,60.877466929243575,7.540209932463586,44.66194766061495
'02/01/2023 20:51:12,10767.780859375001,75.71119036019412,7.486897554257623,48.08598854910238
'02/01/2023 20:51:19,9817.887890625,33.811593541364196,8.006404801031032,45.57918714103528
'02/01/2023 20:51:26,8864.625585937501,4.656494797416758,7.580880909269399,38.61633062664636
'02/01/2023 20:51:33,8598.0642578125,23.83632259473959,7.492507003521213,37.03705682174429
'02/01/2023 20:51:40,9018.618554687502,16.36228944042875,7.546801025061896,39.30134977094942
'02/01/2023 20:51:47,8895.849023437502,15.890631585253148,7.546801025061896,38.64233114993683
'02/01/2023 20:51:54,8757.5146484375,15.870687501892544,7.548686311353441,38.43071737102363
'02/01/2023 20:52:01,8757.5146484375,15.870687501892544,7.548686311353441,38.43071737102363
'02/01/2023 20:52:08,8887.338671875,15.223550663970428,7.546801025061896,38.76707855473454
'02/01/2023 20:52:15,8787.8390625,15.807572822155358,7.493442700769371,38.228364104769746
'02/01/2023 20:52:22,8868.4259765625,18.08185858146281,7.546801025061896,38.138509287960495
'02/01/2023 20:52:29,8998.8103515625,24.96817297843831,7.546801025061896,38.44832660080491
'02/01/2023 20:52:36,9625.2140625,51.4171693326627,7.5420919267060595,42.94855558527509
'02/01/2023 20:52:43,11212.158203125,76.6581004381237,7.485029493234107,48.829252683423334
'02/01/2023 20:52:51,10076.85859375,49.42634875112465,8.01097330444004,45.9418595987556
'02/01/2023 20:52:57,10076.85859375,49.42634875112465,8.01097330444004,45.9418595987556
'02/01/2023 20:53:04,9100.212304687502,18.488600838353356,7.526124857869944,39.65250837651031
'02/01/2023 20:53:11,8809.471484375,14.83897618352919,7.547487304935341,38.426794147702445
'02/01/2023 20:53:18,8822.00078125,17.003552522149946,7.547743550480287,38.26184535057279
'02/01/2023 20:53:25,8950.194726562502,16.73050507194259,7.546801025061896,39.18478104312606
'02/01/2023 20:53:32,10344.5984375,54.7675262710751,7.486897471778473,43.846471998589834
'02/01/2023 20:53:39,10064.89375,67.41540594688874,7.5417953559694295,44.73730577914762
'02/01/2023 20:53:46,9502.748828125,34.99650283972979,7.952987483251535,44.713091714020834
'02/01/2023 20:53:53,8520.597070312502,6.294239783914085,7.579903499883499,37.67655671528339
'02/01/2023 20:54:00,8520.597070312502,6.294239783914085,7.579903499883499,37.67655671528339
'02/01/2023 20:54:07,8529.503125,17.55566164023242,7.547743550480287,37.02591970722922
'02/01/2023 20:54:14,8886.602929687502,15.787684185659446,7.5474873057296055,38.955037510775206
