Date UTC,Time UTC,Date Local (America/Los_Angeles),Time Local (America/Los_Angeles),Value (psi)
2019-12-16,08:07:57,2019-12-16,00:07:57,125.86955444097644
2019-12-16,08:07:58,2019-12-16,00:07:58,125.93916972244811
2019-12-16,08:07:59,2019-12-16,00:07:59,125.86955444097644
2019-12-16,08:08:00,2019-12-16,00:08:00,126.17267835605188
2019-12-16,08:08:01,2019-12-16,00:08:01,126.5309261721604
2019-12-16,08:08:02,2019-12-16,00:08:02,126.7267235775
2019-12-16,08:08:03,2019-12-16,00:08:03,127.0458083715802
2019-12-16,08:08:04,2019-12-16,00:08:04,127.08496254120752
2019-12-16,08:08:05,2019-12-16,00:08:05,127.10092342021228
2019-12-16,08:08:06,2019-12-16,00:08:06,127.19954801976417
2019-12-16,08:08:07,2019-12-16,00:08:07,127.21550004636792
2019-12-16,08:08:08,2019-12-16,00:08:08,127.25321127463208
2019-12-16,08:08:09,2019-12-16,00:08:09,127.23871104179248
2019-12-16,08:08:10,2019-12-16,00:08:10,127.23145207297168
2019-12-16,08:08:11,2019-12-16,00:08:11,127.18939431581605
2019-12-16,08:08:12,2019-12-16,00:08:12,127.23000027920752
2019-12-16,08:08:13,2019-12-16,00:08:13,127.17778881810376
2019-12-16,08:08:14,2019-12-16,00:08:14,127.12122197570751
2019-12-16,08:08:15,2019-12-16,00:08:15,127.18214419939623
2019-12-16,08:08:16,2019-12-16,00:08:16,127.09222151002832
2019-12-16,08:08:17,2019-12-16,00:08:17,127.02550096368395
2019-12-16,08:08:18,2019-12-16,00:08:18,127.0167990535
2019-12-16,08:08:19,2019-12-16,00:08:19,126.92687636413208
2019-12-16,08:08:20,2019-12-16,00:08:20,126.90656895623584
2019-12-16,08:08:21,2019-12-16,00:08:21,126.8572610826604
2019-12-16,08:08:22,2019-12-16,00:08:22,126.80069424026416
2019-12-16,08:08:23,2019-12-16,00:08:23,126.7774832448396
2019-12-16,08:08:24,2019-12-16,00:08:24,126.762983012
2019-12-16,08:08:25,2019-12-16,00:08:25,126.77604030347644
2019-12-16,08:08:26,2019-12-16,00:08:26,126.75862763070752
2019-12-16,08:08:27,2019-12-16,00:08:27,126.73107895879248
2019-12-16,08:08:28,2019-12-16,00:08:28,126.78329041989625
2019-12-16,08:08:29,2019-12-16,00:08:29,126.67740685152356
