Date UTC,Time UTC,Date Local (America/Los_Angeles),Time Local (America/Los_Angeles),Value (psi)
2020-03-25,20:21:22,2020-03-25,13:21:22,149.74565730994337
2020-03-25,20:21:23,2020-03-25,13:21:23,149.68039740976417
2020-03-25,20:21:24,2020-03-25,13:21:24,149.48169641689623
2020-03-25,20:21:25,2020-03-25,13:21:25,149.44834056992457
2020-03-25,20:21:26,2020-03-25,13:21:26,149.36420735081128
2020-03-25,20:21:27,2020-03-25,13:21:27,149.3424658539529
2020-03-25,20:21:28,2020-03-25,13:21:28,149.24673598952833
2020-03-25,20:21:29,2020-03-25,13:21:29,149.1611686814529
2020-03-25,20:21:30,2020-03-25,13:21:30,149.13940947979248
2020-03-25,20:21:31,2020-03-25,13:21:31,149.0654388170283
2020-03-25,20:21:32,2020-03-25,13:21:32,149.03063117629247
2020-03-25,20:21:33,2020-03-25,13:21:33,148.9610158948208
2020-03-25,20:21:34,2020-03-25,13:21:34,148.90444905242455
2020-03-25,20:21:35,2020-03-25,13:21:35,148.86383423663207
2020-03-25,20:21:36,2020-03-25,13:21:36,148.78986357386793
2020-03-25,20:21:37,2020-03-25,13:21:37,148.7724597535
2020-03-25,20:21:38,2020-03-25,13:21:38,148.73765211276415
2020-03-25,20:21:39,2020-03-25,13:21:39,148.64047045457545
2020-03-25,20:21:40,2020-03-25,13:21:40,148.62161484044336
2020-03-25,20:21:41,2020-03-25,13:21:41,148.5694033793396
2020-03-25,20:21:42,2020-03-25,13:21:42,148.48818260015562
2020-03-25,20:21:43,2020-03-25,13:21:43,148.41566373115563
2020-03-25,20:21:44,2020-03-25,13:21:44,148.3997117045519
2020-03-25,20:21:45,2020-03-25,13:21:45,148.33444295197168
2020-03-25,20:21:46,2020-03-25,13:21:46,148.2720777869198
2020-03-25,20:21:47,2020-03-25,13:21:47,148.24162552747643
2020-03-25,20:21:48,2020-03-25,13:21:48,148.28223149086793
2020-03-25,20:21:49,2020-03-25,13:21:49,148.20680903433959
2020-03-25,20:21:50,2020-03-25,13:21:50,148.1632994834198
2020-03-25,20:21:51,2020-03-25,13:21:51,148.13139543021228
2020-03-25,20:21:52,2020-03-25,13:21:52,147.98345410468397
2020-03-25,20:21:53,2020-03-25,13:21:53,148.01680995165563
